Production Date,Units Produced,Operational Costs,Equipment Downtime
2018-09-04,74,2401,2
2018-09-05,192,1588,1
2018-09-06,91,3780,2
2018-09-07,172,4769,0
2018-09-08,84,4686,0
2018-09-09,185,3832,3
2018-09-10,63,3503,3
2018-09-11,127,3831,1
2018-09-12,139,2806,0
2018-09-13,194,1931,0
2018-09-14,198,4013,1
2018-09-15,81,2763,1
2018-09-16,63,2544,3
2018-09-17,125,3522,2
2018-09-18,185,1895,1
2018-09-19,64,2645,2
2018-09-20,75,1430,1
2018-09-21,134,2207,0
2018-09-22,68,2765,3
2018-09-23,67,4903,3
2018-09-24,194,1705,2
2018-09-25,164,1854,2
2018-09-26,126,4859,0
2018-09-27,107,2381,3
2018-09-28,99,3339,2
2018-09-29,199,2844,2
2018-09-30,55,3423,3
2018-10-01,110,3611,2
2018-10-02,130,2049,0
2018-10-03,52,3206,3
2018-10-04,50,2045,3
2018-10-05,75,2986,0
2018-10-06,133,3202,3
2018-10-07,52,3660,2
2018-10-08,162,3748,2
2018-10-09,100,1226,3
2018-10-10,63,4613,3
2018-10-11,127,1346,1
2018-10-12,152,2858,3
2018-10-13,167,3434,1
2018-10-14,59,3639,3
2018-10-15,95,1668,2
2018-10-16,82,4588,3
2018-10-17,157,4226,2
2018-10-18,152,1747,0
2018-10-19,149,3974,1
2018-10-20,188,2314,3
2018-10-21,176,2051,3
2018-10-22,191,1575,3
2018-10-23,144,1860,2
2018-10-24,164,4668,2
2018-10-25,54,1100,1
2018-10-26,176,3462,3
2018-10-27,165,3120,3
2018-10-28,189,3921,0
2018-10-29,113,3055,3
2018-10-30,161,3631,1
2018-10-31,161,2289,3
2018-11-01,107,4545,3
2018-11-02,178,2648,3
2018-11-03,162,1096,3
2018-11-04,182,3605,3
2018-11-05,59,2196,1
2018-11-06,74,4694,1
2018-11-07,89,4164,2
2018-11-08,87,2683,2
2018-11-09,103,2142,1
2018-11-10,164,3795,3
2018-11-11,173,3068,2
2018-11-12,86,4062,0
2018-11-13,132,4502,1
2018-11-14,120,4451,2
2018-11-15,119,3972,0
2018-11-16,166,4620,3
2018-11-17,85,1240,3
2018-11-18,124,2483,0
2018-11-19,166,1784,0
2018-11-20,175,2745,2
2018-11-21,74,2159,3
2018-11-22,196,3012,3
2018-11-23,60,3841,2
2018-11-24,147,1305,3
2018-11-25,185,1441,2
2018-11-26,54,2914,3
2018-11-27,52,3829,3
2018-11-28,168,4274,2
2018-11-29,130,1398,3
2018-11-30,166,2702,1
2018-12-01,178,2879,1
2018-12-02,169,4374,1
2018-12-03,164,4855,0
2018-12-04,118,3437,1
2018-12-05,130,2247,3
2018-12-06,80,2267,2
2018-12-07,125,2871,0
2018-12-08,139,4700,0
2018-12-09,96,1874,1
2018-12-10,76,3233,0
2018-12-11,89,3879,3
2018-12-12,149,4079,0
2018-12-13,54,2583,3
2018-12-14,192,1104,3
2018-12-15,52,2209,2
2018-12-16,114,3610,3
2018-12-17,91,4052,0
2018-12-18,62,1451,3
2018-12-19,83,4301,1
2018-12-20,98,3077,0
2018-12-21,186,3689,3
2018-12-22,172,1495,0
2018-12-23,75,1876,0
2018-12-24,186,4469,0
2018-12-25,195,4912,2
2018-12-26,96,3732,2
2018-12-27,101,2329,0
2018-12-28,97,4938,0
2018-12-29,140,3191,3
2018-12-30,104,2985,0
2018-12-31,127,3933,0
2019-01-01,80,4432,2
2019-01-02,86,1145,3
2019-01-03,126,1976,3
2019-01-04,128,4628,0
2019-01-05,193,1303,1
2019-01-06,132,3371,2
2019-01-07,66,2856,1
2019-01-08,54,2087,0
2019-01-09,106,4316,0
2019-01-10,139,4718,2
2019-01-11,95,4653,3
2019-01-12,162,2239,2
2019-01-13,53,3583,1
2019-01-14,186,2548,3
2019-01-15,188,2964,0
2019-01-16,151,2680,3
2019-01-17,104,1062,1
2019-01-18,71,4868,1
2019-01-19,77,1457,3
2019-01-20,196,2911,1
2019-01-21,134,1250,3
2019-01-22,119,1657,3
2019-01-23,112,4105,1
2019-01-24,71,1329,2
2019-01-25,168,3168,2
2019-01-26,160,3972,2
2019-01-27,195,3078,3
2019-01-28,143,2558,1
2019-01-29,94,4226,3
2019-01-30,190,4426,2
2019-01-31,86,2264,2
2019-02-01,80,3958,1
2019-02-02,78,1742,0
2019-02-03,110,1218,2
2019-02-04,158,4514,0
2019-02-05,115,2385,2
2019-02-06,187,4413,3
2019-02-07,58,3554,3
2019-02-08,125,2695,0
2019-02-09,170,3352,2
2019-02-10,191,1561,1
2019-02-11,71,3937,2
2019-02-12,111,2500,1
2019-02-13,75,2093,0
2019-02-14,123,4493,1
2019-02-15,82,2513,3
2019-02-16,144,1023,1
2019-02-17,109,1996,2
2019-02-18,135,1526,0
2019-02-19,119,1973,3
2019-02-20,73,4606,2
2019-02-21,135,1182,2
2019-02-22,104,2538,3
2019-02-23,189,4180,1
2019-02-24,112,4450,3
2019-02-25,93,2168,1
2019-02-26,135,4517,1
2019-02-27,144,4153,0
2019-02-28,119,2446,0
2019-03-01,156,3626,3
2019-03-02,195,1473,3
2019-03-03,121,2236,0
2019-03-04,66,1118,2
2019-03-05,138,4156,1
2019-03-06,191,1978,3
2019-03-07,58,4223,2
2019-03-08,181,2289,2
2019-03-09,67,2312,3
2019-03-10,170,4748,0
2019-03-11,51,2855,1
2019-03-12,188,3601,3
2019-03-13,152,1180,1
2019-03-14,110,4538,2
2019-03-15,129,4899,1
2019-03-16,158,4459,2
2019-03-17,182,1273,1
2019-03-18,113,3183,0
2019-03-19,181,3308,3
2019-03-20,74,2818,0
2019-03-21,136,4569,1
2019-03-22,196,2343,1
2019-03-23,95,2007,3
2019-03-24,53,4096,2
2019-03-25,72,1165,0
2019-03-26,128,1303,1
2019-03-27,78,1893,1
2019-03-28,94,1980,2
2019-03-29,146,3249,1
2019-03-30,194,4870,3
2019-03-31,150,2213,1
2019-04-01,124,3538,1
2019-04-02,123,2338,0
2019-04-03,185,3461,2
2019-04-04,60,3560,3
2019-04-05,195,2438,1
2019-04-06,107,1383,3
2019-04-07,147,2287,3
2019-04-08,157,1020,2
2019-04-09,160,3394,0
2019-04-10,158,4447,2
2019-04-11,50,1059,0
2019-04-12,168,3729,1
2019-04-13,119,3229,3
2019-04-14,58,2346,3
2019-04-15,168,3053,3
2019-04-16,120,3942,2
2019-04-17,145,3016,3
2019-04-18,115,1712,2
2019-04-19,78,3513,1
2019-04-20,120,1145,0
2019-04-21,108,1747,2
2019-04-22,90,3924,3
2019-04-23,183,1535,0
2019-04-24,137,1418,2
2019-04-25,124,2422,2
2019-04-26,181,1787,2
2019-04-27,177,1664,1
2019-04-28,85,4055,3
2019-04-29,109,2011,0
2019-04-30,65,3704,3
2019-05-01,99,2321,0
2019-05-02,140,1416,2
2019-05-03,67,4028,3
2019-05-04,85,4028,3
2019-05-05,71,3640,1
2019-05-06,178,2638,1
2019-05-07,85,4919,0
2019-05-08,92,3740,2
2019-05-09,75,4050,2
2019-05-10,160,1077,2
2019-05-11,164,1311,0
2019-05-12,132,4255,0
2019-05-13,160,1397,3
2019-05-14,90,2804,3
2019-05-15,73,3413,0
2019-05-16,119,1765,1
2019-05-17,114,1361,0
2019-05-18,176,4799,3
2019-05-19,113,1089,0
2019-05-20,140,4942,1
2019-05-21,59,4159,3
2019-05-22,167,4281,0
2019-05-23,69,4655,0
2019-05-24,172,4406,3
2019-05-25,69,2599,1
2019-05-26,120,2209,0
2019-05-27,81,2020,3
2019-05-28,186,4639,1
2019-05-29,164,2155,0
2019-05-30,174,3628,2
2019-05-31,70,2573,3
2019-06-01,78,3480,3
2019-06-02,162,4248,0
2019-06-03,105,2376,2
2019-06-04,139,2086,3
2019-06-05,112,1169,3
2019-06-06,104,2419,1
2019-06-07,117,3408,3
2019-06-08,104,3421,1
2019-06-09,152,3560,3
2019-06-10,136,3188,1
2019-06-11,132,2017,1
2019-06-12,180,2267,1
2019-06-13,105,4413,0
2019-06-14,154,2790,3
2019-06-15,190,4542,0
2019-06-16,55,1024,0
2019-06-17,103,4059,3
2019-06-18,80,1600,2
2019-06-19,61,3892,2
2019-06-20,81,3050,3
2019-06-21,175,1735,1
2019-06-22,97,1734,1
2019-06-23,58,2253,3
2019-06-24,91,1652,0
2019-06-25,133,1939,0
2019-06-26,94,4653,3
2019-06-27,65,4311,2
2019-06-28,57,2965,0
2019-06-29,76,2288,2
2019-06-30,183,1716,2
2019-07-01,149,2980,0
2019-07-02,134,4121,0
2019-07-03,143,3743,0
2019-07-04,194,3891,1
2019-07-05,78,2842,0
2019-07-06,65,3768,3
2019-07-07,166,1654,1
2019-07-08,117,3393,1
2019-07-09,67,4515,3
2019-07-10,112,4991,0
2019-07-11,152,2925,2
2019-07-12,67,4272,1
2019-07-13,57,4654,0
2019-07-14,157,2298,2
2019-07-15,51,2919,0
2019-07-16,56,2863,0
2019-07-17,135,3961,3
2019-07-18,97,1884,3
2019-07-19,185,4838,0
2019-07-20,194,1994,0
2019-07-21,130,2279,1
2019-07-22,148,1238,1
2019-07-23,74,3377,3
2019-07-24,154,4702,3
2019-07-25,150,1247,2
2019-07-26,106,2410,1
2019-07-27,134,4193,0
2019-07-28,101,2695,0
2019-07-29,139,3710,1
2019-07-30,159,4577,0
2019-07-31,164,1518,1
2019-08-01,120,2511,0
2019-08-02,92,1582,1
2019-08-03,177,1111,0
2019-08-04,169,2797,2
2019-08-05,60,4607,0
2019-08-06,162,4660,0
2019-08-07,52,1910,0
2019-08-08,103,3700,3
2019-08-09,177,1354,2
2019-08-10,146,4899,3
2019-08-11,119,4451,1
2019-08-12,75,1203,1
2019-08-13,91,2963,1
2019-08-14,126,3035,1
2019-08-15,163,4591,1
2019-08-16,122,3261,3
2019-08-17,156,3076,2
2019-08-18,119,1225,0
2019-08-19,60,2513,3
2019-08-20,53,2779,2
2019-08-21,197,1409,2
2019-08-22,175,1062,3
2019-08-23,84,4927,2
2019-08-24,178,3128,2
2019-08-25,86,2829,3
2019-08-26,128,3758,2
2019-08-27,197,3402,2
2019-08-28,192,2070,3
2019-08-29,62,1327,1
2019-08-30,139,1861,1
2019-08-31,122,3752,1
2019-09-01,80,2957,2
2019-09-02,118,4877,0
2019-09-03,144,2543,1
2019-09-04,165,1799,0
2019-09-05,72,3366,3
2019-09-06,74,1867,3
2019-09-07,89,2128,3
2019-09-08,95,3430,3
2019-09-09,150,2730,2
2019-09-10,116,4441,2
2019-09-11,53,4259,3
2019-09-12,60,2286,3
2019-09-13,80,4030,3
2019-09-14,109,4734,1
2019-09-15,71,2215,3
2019-09-16,189,1974,1
2019-09-17,94,3785,3
2019-09-18,94,3240,2
2019-09-19,147,4872,3
2019-09-20,181,4592,0
2019-09-21,77,1001,2
2019-09-22,171,4035,1
2019-09-23,145,4755,3
2019-09-24,138,1898,2
2019-09-25,104,3760,2
2019-09-26,192,3271,3
2019-09-27,182,2433,3
2019-09-28,125,1686,1
2019-09-29,114,4994,0
2019-09-30,75,4981,3
2019-10-01,112,2043,2
2019-10-02,157,1907,3
2019-10-03,187,1715,0
2019-10-04,118,2085,3
2019-10-05,142,4935,0
2019-10-06,135,1929,2
2019-10-07,101,2529,3
2019-10-08,193,3962,2
2019-10-09,195,4259,3
2019-10-10,183,2555,1
2019-10-11,187,2231,1
2019-10-12,51,2284,2
2019-10-13,171,4162,1
2019-10-14,181,4182,1
2019-10-15,76,3151,0
2019-10-16,105,4259,2
2019-10-17,73,2983,0
2019-10-18,111,4515,1
2019-10-19,198,2488,2
2019-10-20,173,3501,3
2019-10-21,80,3502,0
2019-10-22,81,4370,1
2019-10-23,104,1581,0
2019-10-24,55,3605,1
2019-10-25,105,2509,3
2019-10-26,99,2358,3
2019-10-27,50,4015,2
2019-10-28,63,3783,2
2019-10-29,199,4065,0
2019-10-30,101,1913,2
2019-10-31,60,1998,1
2019-11-01,129,4429,0
2019-11-02,83,2639,2
2019-11-03,107,3652,1
2019-11-04,167,2843,0
2019-11-05,178,4991,0
2019-11-06,82,1503,1
2019-11-07,112,3591,1
2019-11-08,80,2515,0
2019-11-09,193,2894,3
2019-11-10,71,1379,2
2019-11-11,132,1530,0
2019-11-12,177,2258,0
2019-11-13,53,4094,3
2019-11-14,126,2679,3
2019-11-15,92,2898,2
2019-11-16,173,4353,3
2019-11-17,92,2673,3
2019-11-18,158,3185,3
2019-11-19,65,4235,1
2019-11-20,120,1163,1
2019-11-21,197,2327,2
2019-11-22,90,3405,1
2019-11-23,90,3862,1
2019-11-24,78,1559,3
2019-11-25,111,3081,3
2019-11-26,134,3877,0
2019-11-27,147,1742,0
2019-11-28,104,1567,0
2019-11-29,196,3776,2
2019-11-30,80,4772,1
2019-12-01,56,4051,0
2019-12-02,178,4291,3
2019-12-03,79,4276,2
2019-12-04,139,4170,3
2019-12-05,88,1243,0
2019-12-06,160,1338,2
2019-12-07,59,1295,0
2019-12-08,146,1568,0
2019-12-09,79,1424,3
2019-12-10,102,4348,0
2019-12-11,52,4440,3
2019-12-12,170,1727,2
2019-12-13,176,3031,0
2019-12-14,105,2507,1
2019-12-15,128,2099,2
2019-12-16,58,3526,3
2019-12-17,189,1898,1
2019-12-18,82,3733,2
2019-12-19,142,3607,1
2019-12-20,92,1637,3
2019-12-21,123,2333,1
2019-12-22,183,3298,2
2019-12-23,125,1580,3
2019-12-24,130,3790,0
2019-12-25,173,1230,1
2019-12-26,185,2139,2
2019-12-27,145,1467,0
2019-12-28,137,3509,0
2019-12-29,86,3819,3
2019-12-30,54,1098,1
2019-12-31,97,3395,2
2020-01-01,155,2584,0
2020-01-02,122,3995,3
2020-01-03,183,2620,3
2020-01-04,196,1680,2
2020-01-05,176,4214,0
2020-01-06,176,2522,0
2020-01-07,197,4944,3
2020-01-08,97,3207,2
2020-01-09,188,4193,3
2020-01-10,90,2330,0
2020-01-11,194,2570,3
2020-01-12,178,1262,0
2020-01-13,74,2572,3
2020-01-14,81,3713,0
2020-01-15,73,3525,0
2020-01-16,88,2760,3
2020-01-17,53,2358,3
2020-01-18,107,3384,2
2020-01-19,150,2499,1
2020-01-20,98,1190,2
2020-01-21,88,2416,2
2020-01-22,136,1641,0
2020-01-23,62,2087,1
2020-01-24,93,3538,0
2020-01-25,178,4189,1
2020-01-26,72,3208,0
2020-01-27,164,4095,0
2020-01-28,125,3406,3
2020-01-29,85,1732,0
2020-01-30,90,3039,3
2020-01-31,118,4070,1
2020-02-01,71,2260,3
2020-02-02,119,4861,0
2020-02-03,197,3593,2
2020-02-04,197,2796,3
2020-02-05,161,4837,1
2020-02-06,120,2697,0
2020-02-07,169,1450,0
2020-02-08,163,1458,1
2020-02-09,113,3678,2
2020-02-10,69,2863,1
2020-02-11,104,2623,0
2020-02-12,128,1174,3
2020-02-13,158,4929,0
2020-02-14,75,4854,3
2020-02-15,144,1253,0
2020-02-16,151,2035,0
2020-02-17,142,2749,3
2020-02-18,106,2053,2
2020-02-19,186,3944,0
2020-02-20,151,2898,3
2020-02-21,68,3860,0
2020-02-22,165,3428,1
2020-02-23,62,4174,1
2020-02-24,140,3279,3
2020-02-25,65,2330,2
2020-02-26,177,1546,0
2020-02-27,160,3772,3
2020-02-28,74,3036,1
2020-02-29,61,3016,0
2020-03-01,110,1705,1
2020-03-02,145,3570,3
2020-03-03,191,2533,0
2020-03-04,99,3118,2
2020-03-05,199,1144,1
2020-03-06,69,4831,2
2020-03-07,108,4101,2
2020-03-08,137,3620,1
2020-03-09,69,2758,0
2020-03-10,113,2898,0
2020-03-11,163,1675,2
2020-03-12,94,2977,1
2020-03-13,157,3178,3
2020-03-14,160,1933,2
2020-03-15,166,1715,1
2020-03-16,74,4235,3
2020-03-17,77,4307,3
2020-03-18,58,4251,1
2020-03-19,127,1145,1
2020-03-20,58,4503,1
2020-03-21,134,2196,1
2020-03-22,105,2544,1
2020-03-23,193,4927,2
2020-03-24,73,3462,1
2020-03-25,52,2001,2
2020-03-26,70,1475,0
2020-03-27,132,1142,0
2020-03-28,142,3167,3
2020-03-29,72,3002,3
2020-03-30,170,2525,1
2020-03-31,142,4993,2
2020-04-01,78,2323,2
2020-04-02,157,3131,3
2020-04-03,120,3408,1
2020-04-04,113,1076,3
2020-04-05,116,4095,3
2020-04-06,179,4657,1
2020-04-07,189,3939,2
2020-04-08,153,4012,2
2020-04-09,83,4769,2
2020-04-10,188,4438,1
2020-04-11,151,3550,3
2020-04-12,65,4467,3
2020-04-13,149,3169,1
2020-04-14,82,3663,0
2020-04-15,139,2042,0
2020-04-16,50,3002,1
2020-04-17,124,3463,0
2020-04-18,115,2282,0
2020-04-19,197,3530,3
2020-04-20,57,1878,2
2020-04-21,149,4488,1
2020-04-22,62,4264,1
2020-04-23,70,4430,2
2020-04-24,97,1006,0
2020-04-25,51,3271,2
2020-04-26,117,4883,1
2020-04-27,147,2930,3
2020-04-28,80,4762,3
2020-04-29,65,1843,1
2020-04-30,157,1511,0
2020-05-01,123,3172,1
2020-05-02,135,4148,2
2020-05-03,114,1940,1
2020-05-04,163,3978,2
2020-05-05,93,2363,3
2020-05-06,82,1825,1
2020-05-07,139,3381,1
2020-05-08,157,2011,3
2020-05-09,152,2387,2
2020-05-10,127,4096,3
2020-05-11,55,2669,0
2020-05-12,171,4594,0
2020-05-13,71,3541,1
2020-05-14,182,2921,3
2020-05-15,102,2721,3
2020-05-16,198,3630,1
2020-05-17,61,1976,2
2020-05-18,195,1665,3
2020-05-19,74,3847,0
2020-05-20,52,1821,0
2020-05-21,100,3117,1
2020-05-22,132,3113,2
2020-05-23,59,4525,0
2020-05-24,177,2709,2
2020-05-25,52,3711,2
2020-05-26,168,3681,0
2020-05-27,136,2083,0
2020-05-28,73,4128,3
2020-05-29,149,1856,0
2020-05-30,90,1484,1
2020-05-31,75,4198,1
2020-06-01,171,4098,3
2020-06-02,143,4553,0
2020-06-03,98,3833,0
2020-06-04,163,1779,3
2020-06-05,119,1288,3
2020-06-06,167,2188,2
2020-06-07,159,2971,1
2020-06-08,105,3644,0
2020-06-09,78,4973,2
2020-06-10,109,2591,0
2020-06-11,198,4841,1
2020-06-12,115,4397,3
2020-06-13,153,4980,0
2020-06-14,172,1268,3
2020-06-15,194,1643,2
2020-06-16,153,3018,0
2020-06-17,121,1429,0
2020-06-18,184,1694,1
2020-06-19,69,2075,1
2020-06-20,102,1240,3
2020-06-21,75,2938,1
2020-06-22,86,1846,3
2020-06-23,124,3853,0
2020-06-24,121,3145,1
2020-06-25,75,1876,0
2020-06-26,159,4035,0
2020-06-27,53,1800,2
2020-06-28,56,1041,3
2020-06-29,81,1725,3
2020-06-30,130,2696,3
2020-07-01,82,4030,1
2020-07-02,140,2266,0
2020-07-03,77,2685,0
2020-07-04,80,3818,2
2020-07-05,106,4871,2
2020-07-06,125,3199,2
2020-07-07,177,3332,0
2020-07-08,54,3158,1
2020-07-09,144,3917,2
2020-07-10,61,2229,1
2020-07-11,69,3859,3
2020-07-12,168,3779,2
2020-07-13,96,1637,3
2020-07-14,161,2588,3
2020-07-15,75,2353,0
2020-07-16,71,4146,1
2020-07-17,75,3697,0
2020-07-18,138,3217,3
2020-07-19,122,2940,0
2020-07-20,76,2488,1
2020-07-21,107,3355,2
2020-07-22,177,2513,0
2020-07-23,69,2846,0
2020-07-24,69,4515,0
2020-07-25,81,4140,0
2020-07-26,158,4983,0
2020-07-27,178,3759,2
2020-07-28,96,4073,3
2020-07-29,126,4658,0
2020-07-30,145,1362,1
2020-07-31,141,1912,0
2020-08-01,198,4540,1
2020-08-02,151,3799,2
2020-08-03,158,1657,3
2020-08-04,136,3412,3
2020-08-05,70,1926,2
2020-08-06,83,2312,0
2020-08-07,134,1437,3
2020-08-08,55,2881,1
2020-08-09,160,3302,2
2020-08-10,179,2476,2
2020-08-11,153,2443,3
2020-08-12,100,1218,0
2020-08-13,143,2881,1
2020-08-14,167,4530,3
2020-08-15,103,3346,3
2020-08-16,67,1009,0
2020-08-17,67,2219,0
2020-08-18,52,2645,0
2020-08-19,79,1993,2
2020-08-20,116,2029,0
2020-08-21,62,4238,1
2020-08-22,195,2780,0
2020-08-23,117,4844,0
2020-08-24,160,4184,0
2020-08-25,115,4650,1
2020-08-26,158,1394,3
2020-08-27,158,1773,1
2020-08-28,100,3499,1
2020-08-29,110,3507,2
2020-08-30,69,2715,3
2020-08-31,72,2982,0
2020-09-01,156,2452,2
2020-09-02,122,3525,3
2020-09-03,180,4908,1
2020-09-04,190,3124,0
2020-09-05,144,4351,0
2020-09-06,160,2154,0
2020-09-07,110,2561,3
2020-09-08,150,4703,1
2020-09-09,152,1626,2
2020-09-10,195,1990,1
2020-09-11,107,1795,3
2020-09-12,111,1067,1
2020-09-13,106,3257,3
2020-09-14,186,2244,0
2020-09-15,156,1092,1
2020-09-16,142,3570,3
2020-09-17,62,1988,2
2020-09-18,155,3475,0
2020-09-19,102,2475,3
2020-09-20,179,2854,0
2020-09-21,95,3559,3
2020-09-22,169,1821,0
